"district_name","district_code","first_year","year","second_year","grade_pk","grade_k","grade_1","grade_2","grade_3","grade_4","grade_5","grade_6","grade_7","grade_8","grade_9","grade_10","grade_11","grade_12","grade_sp","total_enrollment","total_teachers","pct_teachers_licensed","student_teacher_ratio","pct_experienced_teachers","pct_teachers_without_waiver","pct_teaching_in_field","total_core_academic_classes","pct_core_classes_taught_by_exp_teachers","salary_total","average_salary","in_district_exp","total_in_district_fte","in_district_exp_per_pupil","total_exp","total_pupil_ftes","total_exp_per_pupil","sci_advanced_proficient_number","sci_advanced_proficient_pct","sci_advanced_number","sci_advanced_pct","sci_proficient_number","sci_proficient_pct","sci_needs_imp_number","sci_needs_imp_pct","sci_warning_failing_number","sci_warning_failing_pct","sci_student_included","ela_advanced_proficient_number","ela_advanced_proficient_pct","ela_advanced_number","ela_advanced_pct","ela_proficient_number","ela_proficient_pct","ela_needs_imp_number","ela_needs_imp_pct","ela_warning_failing_number","ela_warning_failing_pct","ela_student_included","mth_advanced_proficient_number","mth_advanced_proficient_pct","mth_advanced_number","mth_advanced_pct","mth_proficient_number","mth_proficient_pct","mth_needs_imp_number","mth_needs_imp_pct","mth_warning_failing_number","mth_warning_failing_pct","mth_student_included","sat_tests_taken","sat_reading_writing","sat_math","ap_tests_taken","ap_1","ap_2","ap_3","ap_4","ap_5","ap_score_1_2_pct","ap_score_3_5_pct","contract_length","year_1","year_2","year_3","cola_2015_16","cola_2016_17","cola_2017_18","cola_2018_19","cola_2019_20","cola_2020_21","cola_2021_22","cola_2022_23","cola_2023_24","upper_left_2015_16","upper_left_2016_17","upper_left_2017_18","upper_left_2018_19","upper_left_2019_20","upper_left_2020_21","upper_left_2021_22","upper_left_2022_23","upper_left_2023_24","lower_right_2015_16","lower_right_2016_17","lower_right_2017_18","lower_right_2018_19","lower_right_2019_20","lower_right_2020_21","lower_right_2021_22","lower_right_2022_23","lower_right_2023_24","salary_avg_2015_16","salary_avg_2016_17","salary_avg_2017_18","salary_avg_2018_19","salary_avg_2019_20","salary_avg_2020_21","salary_avg_2021_22","salary_avg_2022_23","salary_avg_2023_24","num_steps","num_lanes","avg_pct_increase_steps","pct_increase_last_step","avg_pct_increase_lanes","pct_increase_bachelors_masters","pct_increase_masters_doctorate","longevity_start_year","longevity_end_year","longevity_min_pay","longevity_max_pay","num_days_with_students","num_days_without_students_teachers","num_days_without_students_guidance","num_days_without_students_nurses","nurses_unionized","pct_health_insurance_paid","personal_days_annually","personal_days_carry_over","personal_days_carry_over_max","personal_days_paid_for_unused","personal_days_paid_for_unused_rate","sick_days","sick_days_buy_back","sick_days_buy_back_rate","sick_leave_bank","sick_leave_bank_cap","bereavement_days","religious_days","other_days","comp_for_attendance","guidance_max_ration_hs","max_class_size_ratio_elementary","max_student_ratio_hs","special_ed_ratio_elementary","special_ed_ratio_hs","children_of_teachers_attending","length_of_workday_elementary","length_of_workday_hs","early_retirement_incentives","unit_b","tuition_reimbursement","first_lang_not_eng","first_lang_not_eng_pct","english_learner","english_learner_pct","disabled","disabled_pct","high_need","high_need_pct","low_income","low_income_pct","league","city","county"
"Haverhill",1280000,2016,"2016-17",2017,203,535,559,623,611,607,577,616,602,639,520,460,398,460,42,7452,515.5,0.98,14.5,NA,NA,NA,3189,0.98,35591659,69043,92291636,7308.5,12627.99,107885148,8533.4,12642.69,234,65,106,30,128,36,93,26,31,9,358,351,83,134,32,217,51,44,10,27,6,422,273,66,145,35,128,31,80,19,61,15,414,357,543,539,563,117,169,148,89,40,50.8,49.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1206,16.2,651,8.7,1714,22.8,4375,58.2,3362,45.1,"Merrimack Valley","Haverhill","Essex"
"Haverhill",1280000,2021,"2021-22",2022,209,530,539,570,604,644,648,628,696,692,623,501,417,402,35,7738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1634,21.1,786,10.2,1794,22.9,5532,70.8,4855,62.7,"Merrimack Valley","Haverhill","Essex"
"Haverhill",1280000,2018,"2018-19",2019,200,589,665,635,639,709,680,715,682,649,504,538,416,396,30,8047,569,0.989,14.1,0.813,0.943,0.922,NA,NA,42730134,75097,99885857,7519.4,13283.75,116908616.2,8712.2,13418.95,257,56,83,18,174,38,152,33,46,10,455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,541,533,481,45,150,141,99,46,40.5,59.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1364,17,768,9.5,1861,22.9,4839,59.7,3661,45.5,"Merrimack Valley","Haverhill","Essex"
"Haverhill",1280000,2019,"2019-20",2020,207,581,632,658,657,643,725,681,699,688,526,444,490,398,34,8063,598.9,0.987,13.5,0.804,0.941,0.961,NA,NA,44490768,74287,108110971,8091.6,13360.89,120748211,8728.4,13833.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,169,542,539,482,75,128,128,109,42,42.1,57.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1236,15.3,776,9.6,1858,22.8,5017,61.6,3891,48.3,"Merrimack Valley","Haverhill","Essex"
"Haverhill",1280000,2017,"2017-18",2018,221,524,570,557,608,601,615,678,636,608,587,436,427,393,38,7499,545.8,0.984,13.7,0.814,0.922,NA,NA,NA,38783403,70928,95472987,7429.4,12850.7,111752055,8641.8,12931.57,257,70,99,27,158,43,88,24,23,6,368,360,87,179,43,181,44,34,8,20,5,414,301,73,173,42,128,31,70,17,43,10,414,291,552,547,457,53,130,135,99,40,40,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1240,16.5,765,10.2,1754,23.2,4539,60,3530,47.1,"Merrimack Valley","Haverhill","Essex"
"Haverhill",1280000,2015,"2015-16",2016,199,519,635,602,600,558,502,608,617,628,482,439,474,426,35,7324,475.6,0.967,15.4,NA,NA,NA,3155,0.962,34467532,72472,NA,NA,NA,NA,NA,NA,236,64,68,18,168,45,99,27,36,10,371,363,87,139,33,224,54,39,9,16,4,418,281,67,185,44,96,23,92,22,45,11,418,NA,NA,NA,578,102,169,150,104,53,46.9,53.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1086,14.8,499,6.8,1502,20.3,4081,55.3,3027,41.3,"Merrimack Valley","Haverhill","Essex"
"Hawlemont",6850000,2020,"2020-21",2021,13,13,11,13,12,23,16,17,0,0,0,0,0,0,0,118,10.3,1,11.5,0.806,0.816,0.818,NA,NA,NA,NA,2665026.92,142.7,18675.73,2760550.04,160.7,17178.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4.2,5,4.2,33,28,70,59.3,60,50.8,NA,"Shelburne Falls","Franklin"
"Hawlemont",6850000,2021,"2021-22",2022,17,11,15,13,16,14,21,16,0,0,0,0,0,0,0,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4.9,6,4.9,32,26,74,60.2,65,52.8,NA,"Shelburne Falls","Franklin"
"Hawlemont",6850000,2018,"2018-19",2019,29,15,22,24,17,19,6,19,0,0,0,0,0,0,0,151,10,1,15.1,0.8,0.8,0.833,NA,NA,903198,90320,2344543.39,162.7,14410.22,2484968.98,186.4,13331.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.3,0,0,34,22.4,84,55.3,70,46.4,NA,"Shelburne Falls","Franklin"
"Hawlemont",6850000,2019,"2019-20",2020,23,16,15,17,28,18,18,8,0,0,0,0,0,0,0,143,12,1,11.9,0.833,0.842,0.846,NA,NA,995952,82996,2513274.49,151,16644.2,2660673.94,177.9,14956.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3.5,5,3.5,41,28.5,84,58.3,70,49,NA,"Shelburne Falls","Franklin"
"Hawlemont",6850000,2017,"2017-18",2018,26,25,26,20,17,10,22,17,0,0,0,0,0,0,0,163,11.6,0.866,14.1,0.647,0.914,NA,NA,NA,803755,69289,1950041,125.7,15513.46,2132537,155.8,13687.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,32,19.5,100,61,85,52.1,NA,"Shelburne Falls","Franklin"
"Hawlemont",6850000,2016,"2016-17",2017,10,17,15,17,7,17,14,8,0,0,0,0,0,0,0,105,10.4,0.836,10.1,NA,NA,NA,50,0.9,656943,63168,1858312,101.4,18326.55,2018247,126.3,15979.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,22,21,67,63.8,55,52.4,NA,"Shelburne Falls","Franklin"
"Hawlemont",6850000,2015,"2015-16",2016,18,17,13,8,8,13,10,15,0,0,0,0,0,0,0,102,9.8,0.877,10.4,NA,NA,NA,53,0.906,548726,55992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,19,18.6,54,52.9,47,46.1,NA,"Shelburne Falls","Franklin"
"Helen Y. Davis Leadership Academy Charter Public (District)",4190000,2016,"2016-17",2017,0,0,0,0,0,0,0,68,77,72,0,0,0,0,0,217,17,0.647,12.8,NA,NA,NA,74,0.811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,17.5,27,12.4,60,27.6,154,71,113,52.1,NA,"Boston","Suffolk"
"Helen Y. Davis Leadership Academy Charter Public (District)",4190000,2015,"2015-16",2016,0,0,0,0,0,0,0,59,82,76,0,0,0,0,0,217,16,0.813,13.6,NA,NA,NA,68,0.941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,16.6,31,14.3,42,19.4,143,65.9,112,51.6,NA,"Boston","Suffolk"
"Helen Y. Davis Leadership Academy Charter Public (District)",4190000,2017,"2017-18",2018,0,0,0,0,0,0,0,60,73,81,0,0,0,0,0,214,13.9,0.639,15.4,0.422,0.783,NA,NA,NA,NA,NA,4349799,219.2,19846.21,4349799,219.2,19846.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,9.8,8,3.7,62,29,162,75.7,127,59.3,NA,"Boston","Suffolk"
"Helen Y. Davis Leadership Academy Charter Public (District)",4190000,2021,"2021-22",2022,0,0,0,0,0,0,0,17,48,73,0,0,0,0,0,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4.3,3,2.2,22,15.9,122,88.4,118,85.5,NA,"Boston","Suffolk"
"Helen Y. Davis Leadership Academy Charter Public (District)",4190000,2018,"2018-19",2019,0,0,0,0,0,0,0,69,63,59,0,0,0,0,0,191,16,0.5,11.9,0.25,0.875,0.353,NA,NA,NA,NA,4562011,214.3,21284.99,4562011,214.3,21284.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,11,17,8.9,50,26.2,142,74.3,120,62.8,NA,"Boston","Suffolk"
"Helen Y. Davis Leadership Academy Charter Public (District)",4190000,2019,"2019-20",2020,0,0,0,0,0,0,0,73,80,54,0,0,0,0,0,207,17,0.353,12.2,0.235,0.882,0.286,NA,NA,NA,NA,4093239,188.5,21720.56,4093239,188.5,21720.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,9.2,12,5.8,45,21.7,145,70,118,57,NA,"Boston","Suffolk"
"Helen Y. Davis Leadership Academy Charter Public (District)",4190000,2020,"2020-21",2021,0,0,0,0,0,0,0,33,80,80,0,0,0,0,0,193,19,0.316,10.2,0.158,0.895,0.556,NA,NA,NA,NA,4064727,201.5,20169.34,4064727,201.5,20169.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,9.3,8,4.1,32,16.6,144,74.6,126,65.3,NA,"Boston","Suffolk"
"Hill View Montessori Charter Public (District)",4550000,2015,"2015-16",2016,0,36,35,34,33,35,34,32,34,33,0,0,0,0,0,306,19.6,0.785,15.6,NA,NA,NA,88,0.852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,4.9,8,2.6,38,12.4,87,28.4,50,16.3,NA,"Haverhill","Essex"
"Hill View Montessori Charter Public (District)",4550000,2016,"2016-17",2017,0,34,36,35,36,33,34,33,31,34,0,0,0,0,0,306,20.1,0.778,15.3,NA,NA,NA,97,0.845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,4.2,9,2.9,0,0,49,16,45,14.7,NA,"Haverhill","Essex"
"Hill View Montessori Charter Public (District)",4550000,2017,"2017-18",2018,0,36,31,37,35,35,33,35,30,31,0,0,0,0,0,303,25,0.8,12.1,0.56,0.84,NA,NA,NA,NA,NA,3233677.16,306.1,10564.8,3233677.16,306.1,10564.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3,7,2.3,45,14.9,95,31.4,55,18.2,NA,"Haverhill","Essex"
